node	gene_id	taxon	panther_id	gene_name	go_terms
phyparts_dup.dupl.26	DEEC@DN13933_c0_g1_i1	DEEC	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	DEEC@DN13933_c0_g2_i1	DEEC	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	DEEC@DN29766_c0_g1_i1	DEEC	PTHR13743:SF157	BEACH DOMAIN-CONTAINING PROTEIN C2	
phyparts_dup.dupl.26	MECR2@DN7034_c0_g1_i3	MECR2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	MECR2@DN7034_c0_g3_i1	MECR2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	MECR2@DN7794_c0_g1_i1	MECR2	PTHR13743:SF157	BEACH DOMAIN-CONTAINING PROTEIN C2	
phyparts_dup.dupl.26	SEHU2@DN16807_c0_g1_i1	SEHU2	PTHR13743:SF157	BEACH DOMAIN-CONTAINING PROTEIN C2	
phyparts_dup.dupl.26	SEHU2@DN6908_c0_g1_i13	SEHU2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	SEPO2@DN10101_c0_g1_i7	SEPO2	PTHR13743:SF157	BEACH DOMAIN-CONTAINING PROTEIN C2	
phyparts_dup.dupl.26	SEPO2@DN10101_c1_g1_i6	SEPO2	PTHR13743:SF157	BEACH DOMAIN-CONTAINING PROTEIN C2	
phyparts_dup.dupl.26	SEPO2@DN9534_c0_g1_i4	SEPO2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	SEVE2@DN3136_c0_g1_i1	SEVE2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	SEVE2@DN3136_c0_g2_i1	SEVE2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	SEVE2@DN3276_c0_g1_i1	SEVE2	PTHR13743:SF157	BEACH DOMAIN-CONTAINING PROTEIN C2	
phyparts_dup.dupl.26	SEVE2@DN4304_c0_g1_i1	SEVE2	PTHR13743:SF157	BEACH DOMAIN-CONTAINING PROTEIN C2	
phyparts_dup.dupl.26	ZAPE2@DN10172_c0_g2_i1	ZAPE2	PTHR13743:SF157	BEACH DOMAIN-CONTAINING PROTEIN C2	
phyparts_dup.dupl.26	ZAPE2@DN16484_c0_g1_i1	ZAPE2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	ZAPE2@DN9313_c0_g1_i3	ZAPE2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
phyparts_dup.dupl.26	ZAPE2@DN9313_c0_g3_i1	ZAPE2	PTHR12341:SF74	5'-3' EXORIBONUCLEASE 4	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;RNA binding#GO:0003723;nucleic acid binding#GO:0003676;nuclease activity#GO:0004518;5'-3' exonuclease activity#GO:0008409;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters#GO:0016796;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;exonuclease activity#GO:0004527;RNA nuclease activity#GO:0004540
