node	gene_id	taxon	panther_id	gene_name	go_terms
phyparts_dup.dupl.5	DEEC@DN10338_c0_g1_i1	DEEC	PTHR22950:SF289	AMINO ACID TRANSPORTER AVT6C-LIKE	L-amino acid transmembrane transporter activity#GO:0015179;transmembrane transporter activity#GO:0022857;carboxylic acid transmembrane transporter activity#GO:0046943;amino acid transmembrane transporter activity#GO:0015171;organic anion transmembrane transporter activity#GO:0008514;transporter activity#GO:0005215;organic acid transmembrane transporter activity#GO:0005342
phyparts_dup.dupl.5	DEEC@DN10514_c0_g1_i2	DEEC	PTHR46368:SF19	GFO_IDH_MOCA-LIKE OXIDOREDUCTASE N-TERMINAL DOMAIN-CONTAINING PROTEIN	
phyparts_dup.dupl.5	DEEC@DN10854_c0_g1_i1	DEEC	PTHR10910:SF62	AT07585P-RELATED	nucleic acid binding#GO:0003676;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines#GO:0016814;adenosine deaminase activity#GO:0004000;RNA binding#GO:0003723;tRNA-specific adenosine deaminase activity#GO:0008251;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;hydrolase activity#GO:0016787;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds#GO:0016810;deaminase activity#GO:0019239;double-stranded RNA binding#GO:0003725
phyparts_dup.dupl.5	DEEC@DN10854_c0_g2_i1	DEEC	PTHR10910:SF62	AT07585P-RELATED	nucleic acid binding#GO:0003676;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines#GO:0016814;adenosine deaminase activity#GO:0004000;RNA binding#GO:0003723;tRNA-specific adenosine deaminase activity#GO:0008251;binding#GO:0005488;catalytic activity#GO:0003824;organic cyclic compound binding#GO:0097159;hydrolase activity#GO:0016787;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds#GO:0016810;deaminase activity#GO:0019239;double-stranded RNA binding#GO:0003725
phyparts_dup.dupl.5	DEEC@DN12401_c0_g1_i1	DEEC	PTHR46056:SF10	LONG-CHAIN-ALCOHOL OXIDASE FAO3	
phyparts_dup.dupl.5	DEEC@DN1380_c0_g1_i1	DEEC	PTHR23147:SF271	SERINE_ARGININE-RICH SPLICING FACTOR SR30	nucleic acid binding#GO:0003676;RNA binding#GO:0003723;binding#GO:0005488;organic cyclic compound binding#GO:0097159
phyparts_dup.dupl.5	DEEC@DN1380_c1_g1_i1	DEEC	PTHR23147:SF267	OS03G0344100 PROTEIN	nucleic acid binding#GO:0003676;RNA binding#GO:0003723;binding#GO:0005488;organic cyclic compound binding#GO:0097159
phyparts_dup.dupl.5	DEEC@DN13935_c0_g1_i1	DEEC	PTHR24286:SF362	BNAA08G31650D PROTEIN	catalytic activity#GO:0003824;oxidoreductase activity#GO:0016491
phyparts_dup.dupl.5	DEEC@DN1471_c0_g1_i2	DEEC	PTHR42898:SF95	SUBFAMILY NOT NAMED	
phyparts_dup.dupl.5	DEEC@DN16157_c0_g1_i1	DEEC	PTHR10099:SF8	PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE	ligase activity#GO:0016874;catalytic activity#GO:0003824
phyparts_dup.dupl.5	DEEC@DN16157_c0_g2_i1	DEEC	PTHR10099:SF10	PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE	ligase activity#GO:0016874;catalytic activity#GO:0003824
phyparts_dup.dupl.5	DEEC@DN16688_c0_g1_i1	DEEC	PTHR48054:SF21	KINASE FAMILY WITH LEUCINE-RICH REPEAT DOMAIN-CONTAINING PROTEIN	
phyparts_dup.dupl.5	DEEC@DN1689_c0_g1_i1	DEEC	PTHR11240:SF53	RIBONUCLEASE 2-LIKE	catalytic activity, acting on RNA#GO:0140098;hydrolase activity, acting on ester bonds#GO:0016788;nuclease activity#GO:0004518;catalytic activity#GO:0003824;hydrolase activity#GO:0016787;catalytic activity, acting on a nucleic acid#GO:0140640;endonuclease activity#GO:0004519;RNA nuclease activity#GO:0004540;RNA endonuclease activity#GO:0004521
phyparts_dup.dupl.5	DEEC@DN1717_c0_g1_i2	DEEC	PTHR27002:SF839	NON-SPECIFIC SERINE_THREONINE PROTEIN KINASE	transferase activity#GO:0016740;phosphotransferase activity, alcohol group as acceptor#GO:0016773;catalytic activity#GO:0003824;protein serine/threonine kinase activity#GO:0004674;transferase activity, transferring phosphorus-containing groups#GO:0016772;catalytic activity, acting on a protein#GO:0140096;kinase activity#GO:0016301;protein kinase activity#GO:0004672
