node	gene_id	taxon	panther_id	gene_name	go_terms
phyparts_dup.dupl.12	DEEC@DN1151_c0_g1_i1	DEEC	PTHR11746:SF336	O-METHYLTRANSFERASE FAMILY PROTEIN	methyltransferase activity#GO:0008168;transferase activity#GO:0016740;transferase activity, transferring one-carbon groups#GO:0016741;O-methyltransferase activity#GO:0008171;catalytic activity#GO:0003824;S-adenosylmethionine-dependent methyltransferase activity#GO:0008757
phyparts_dup.dupl.12	DEEC@DN1151_c0_g1_i2	DEEC	PTHR11746:SF336	O-METHYLTRANSFERASE FAMILY PROTEIN	methyltransferase activity#GO:0008168;transferase activity#GO:0016740;transferase activity, transferring one-carbon groups#GO:0016741;O-methyltransferase activity#GO:0008171;catalytic activity#GO:0003824;S-adenosylmethionine-dependent methyltransferase activity#GO:0008757
phyparts_dup.dupl.12	DEEC@DN14003_c0_g1_i1	DEEC	PTHR11746:SF336	O-METHYLTRANSFERASE FAMILY PROTEIN	methyltransferase activity#GO:0008168;transferase activity#GO:0016740;transferase activity, transferring one-carbon groups#GO:0016741;O-methyltransferase activity#GO:0008171;catalytic activity#GO:0003824;S-adenosylmethionine-dependent methyltransferase activity#GO:0008757
phyparts_dup.dupl.12	DEEC@DN21309_c0_g1_i1	DEEC	PTHR11071:SF562	PEPTIDYL-PROLYL CIS-TRANS ISOMERASE CYP19-4	peptidyl-prolyl cis-trans isomerase activity#GO:0003755;isomerase activity#GO:0016853;catalytic activity, acting on a protein#GO:0140096;binding#GO:0005488;catalytic activity#GO:0003824;amide binding#GO:0033218;peptide binding#GO:0042277
phyparts_dup.dupl.12	DEEC@DN2181_c0_g1_i2	DEEC	PTHR47692	RING/U-BOX SUPERFAMILY PROTEIN	
phyparts_dup.dupl.12	DEEC@DN2181_c0_g1_i2	DEEC	PTHR47692:SF2	ZINC FINGER RING-TYPE DOMAIN CONTAINING PROTEIN	
phyparts_dup.dupl.12	DEEC@DN31793_c0_g1_i1	DEEC	PTHR11757:SF14	PROLYL ENDOPEPTIDASE	
phyparts_dup.dupl.12	DEEC@DN392_c0_g1_i5	DEEC	PTHR12233:SF17	VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 26A	
phyparts_dup.dupl.12	DEEC@DN4688_c0_g1_i1	DEEC	PTHR12233:SF20	VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 26A	
phyparts_dup.dupl.12	DEEC@DN679_c1_g1_i1	DEEC	PTHR11206:SF196	PROTEIN DETOXIFICATION	transmembrane transporter activity#GO:0022857;transporter activity#GO:0005215
