node	gene_id	taxon	panther_id	gene_name	go_terms
phyparts_dup.dupl.6	DEEC@DN468_c0_g2_i2	DEEC	PTHR48049:SF35	UDP-GLUCOSYL TRANSFERASE 73B2-RELATED	
phyparts_dup.dupl.6	DEEC@DN468_c0_g2_i6	DEEC	PTHR48049:SF35	UDP-GLUCOSYL TRANSFERASE 73B2-RELATED	
phyparts_dup.dupl.6	MECR2@DN1540_c0_g1_i2	MECR2	PTHR48049:SF35	UDP-GLUCOSYL TRANSFERASE 73B2-RELATED	
phyparts_dup.dupl.6	MECR2@DN1540_c0_g3_i1	MECR2	PTHR48047:SF135	GLYCOSYLTRANSFERASE	UDP-glucosyltransferase activity#GO:0035251;transferase activity#GO:0016740;glucosyltransferase activity#GO:0046527;glycosyltransferase activity#GO:0016757;catalytic activity#GO:0003824;UDP-glycosyltransferase activity#GO:0008194;hexosyltransferase activity#GO:0016758
phyparts_dup.dupl.6	MECR2@DN44805_c0_g1_i1	MECR2	PTHR48047:SF135	GLYCOSYLTRANSFERASE	UDP-glucosyltransferase activity#GO:0035251;transferase activity#GO:0016740;glucosyltransferase activity#GO:0046527;glycosyltransferase activity#GO:0016757;catalytic activity#GO:0003824;UDP-glycosyltransferase activity#GO:0008194;hexosyltransferase activity#GO:0016758
phyparts_dup.dupl.6	SEHU2@DN2610_c0_g1_i2	SEHU2	PTHR48049:SF35	UDP-GLUCOSYL TRANSFERASE 73B2-RELATED	
phyparts_dup.dupl.6	SEHU2@DN2610_c0_g2_i1	SEHU2	PTHR48047:SF135	GLYCOSYLTRANSFERASE	UDP-glucosyltransferase activity#GO:0035251;transferase activity#GO:0016740;glucosyltransferase activity#GO:0046527;glycosyltransferase activity#GO:0016757;catalytic activity#GO:0003824;UDP-glycosyltransferase activity#GO:0008194;hexosyltransferase activity#GO:0016758
phyparts_dup.dupl.6	SEPO2@DN18997_c0_g1_i1	SEPO2	PTHR48049:SF35	UDP-GLUCOSYL TRANSFERASE 73B2-RELATED	
phyparts_dup.dupl.6	SEPO2@DN60705_c0_g1_i1	SEPO2	PTHR48047:SF135	GLYCOSYLTRANSFERASE	UDP-glucosyltransferase activity#GO:0035251;transferase activity#GO:0016740;glucosyltransferase activity#GO:0046527;glycosyltransferase activity#GO:0016757;catalytic activity#GO:0003824;UDP-glycosyltransferase activity#GO:0008194;hexosyltransferase activity#GO:0016758
phyparts_dup.dupl.6	ZAPE2@DN1215_c0_g1_i2	ZAPE2	PTHR48047:SF135	GLYCOSYLTRANSFERASE	UDP-glucosyltransferase activity#GO:0035251;transferase activity#GO:0016740;glucosyltransferase activity#GO:0046527;glycosyltransferase activity#GO:0016757;catalytic activity#GO:0003824;UDP-glycosyltransferase activity#GO:0008194;hexosyltransferase activity#GO:0016758
phyparts_dup.dupl.6	ZAPE2@DN1215_c0_g1_i4	ZAPE2	PTHR48047:SF135	GLYCOSYLTRANSFERASE	UDP-glucosyltransferase activity#GO:0035251;transferase activity#GO:0016740;glucosyltransferase activity#GO:0046527;glycosyltransferase activity#GO:0016757;catalytic activity#GO:0003824;UDP-glycosyltransferase activity#GO:0008194;hexosyltransferase activity#GO:0016758
phyparts_dup.dupl.6	ZAPE2@DN6025_c0_g1_i8	ZAPE2	PTHR48049:SF35	UDP-GLUCOSYL TRANSFERASE 73B2-RELATED	
